phiNames, phiPreds, phi0, n_3, n_1, n_2, y_4, y_2, y_1, y_3, y_0, x_3, x_1, x_2, r_2, r_0, r_1, p_2, p_0, p_1, n_0, x_0, gen_bad, n, x, output, incorrect
"[8.363162944032354, 1]", "[True]", <phi.Phi object at 0x10bb18b38>, 0, 0, 1, 8.363162944032354, 8.363162944032354, 8.363162944032354, 1, 1, 4096, 4096, 64, 1, 1, 0, True, True, False, 2, 8, True, 2, 8, 8.363162944032354, True
"[59049, 9]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 59049, 59049, 59049, 9, 1, 43046721, 43046721, 6561, 1, 1, 0, True, True, False, 5, 9, False, 5, 9, 59049, False
"[276612.7638947922, 1]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 276612.7638947922, 276612.7638947922, 276612.7638947922, 1, 1, 152587890625, 152587890625, 390625, 1, 1, 0, True, True, False, 8, 5, True, 8, 5, 276612.7638947922, True
"[282475249, 49]", "[True]", <phi.Phi object at 0x10bab9588>, 0, 0, 1, 282475249, 282475249, 282475249, 49, 1, 33232930569601, 33232930569601, 5764801, 1, 1, 0, True, True, False, 10, 7, False, 10, 7, 282475249, False
"[729, 9]", "[True]", <phi.Phi object at 0x10bb2b9e8>, 0, 0, 1, 729, 729, 729, 9, 1, 6561, 6561, 81, 1, 1, 1, True, True, True, 6, 3, False, 6, 3, 729, False
"[31.48790702094006, 1.4841353353460067]", "[True]", <phi.Phi object at 0x10bab9dd8>, 0, 0, 1, 31.48790702094006, 31.48790702094006, 31.48790702094006, 1.4841353353460067, 1, 6561, 6561, 81, 1, 1, 1, True, True, True, 6, 3, True, 6, 3, 31.48790702094006, True
"[827642.5299481507, 2.880022614355198]", "[True]", <phi.Phi object at 0x10ba9eb00>, 0, 0, 1, 827642.5299481507, 827642.5299481507, 827642.5299481507, 2.880022614355198, 1, 152587890625, 152587890625, 390625, 1, 1, 0, True, True, False, 9, 5, True, 9, 5, 827642.5299481507, True
"[3.9662496423900335, 1]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 3.9662496423900335, 3.9662496423900335, 3.9662496423900335, 1, 1, 49, 49, 7, 1, 1, None, True, True, None, 1, 7, True, 1, 7, 3.9662496423900335, True
"[1320.2315539410622, 47.5140080772986]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 1320.2315539410622, 1320.2315539410622, 1320.2315539410622, 47.5140080772986, 1, 65536, 65536, 256, 1, 1, 1, True, True, True, 7, 4, True, 7, 4, 1320.2315539410622, True
"[2.5496162713862294, 1]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 2.5496162713862294, 2.5496162713862294, 2.5496162713862294, 1, 1, 100, 100, 10, 1, 1, None, True, True, None, 1, 10, True, 1, 10, 2.5496162713862294, True
"[92.66715364600539, 5.919926687822931]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 92.66715364600539, 92.66715364600539, 92.66715364600539, 5.919926687822931, 1, 6561, 6561, 81, 1, 1, 1, True, True, True, 6, 3, True, 6, 3, 92.66715364600539, True
"[66.00125772154206, 0.7282132059600079]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 66.00125772154206, 66.00125772154206, 66.00125772154206, 0.7282132059600079, 1, 43046721, 43046721, 6561, 1, 1, 0, True, True, False, 5, 9, True, 5, 9, 66.00125772154206, True
"[160252.73775505731, 2.6005188330814284]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 160252.73775505731, 160252.73775505731, 160252.73775505731, 2.6005188330814284, 1, 4294967296, 4294967296, 65536, 1, 1, 0, True, True, False, 9, 4, True, 9, 4, 160252.73775505731, True
"[3125, 5]", "[True]", <phi.Phi object at 0x10bab9518>, 0, 0, 1, 3125, 3125, 3125, 5, 1, 390625, 390625, 625, 1, 1, 0, True, True, False, 5, 5, False, 5, 5, 3125, False
"[1765.7820017629272, 7.824053451674332]", "[True]", <phi.Phi object at 0x10bac20f0>, 0, 0, 1, 1765.7820017629272, 1765.7820017629272, 1765.7820017629272, 7.824053451674332, 1, 100000000, 100000000, 10000, 1, 1, 0, True, True, False, 5, 10, True, 5, 10, 1765.7820017629272, True
"[4.006440753143763, 1]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 4.006440753143763, 4.006440753143763, 4.006440753143763, 1, 1, 25, 25, 5, 1, 1, None, True, True, None, 1, 5, True, 1, 5, 4.006440753143763, True
"[625, 1]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 625, 625, 625, 1, 1, 390625, 390625, 625, 1, 1, 0, True, True, False, 4, 5, False, 4, 5, 625, False
"[81, 1]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 81, 81, 81, 1, 1, 6561, 6561, 81, 1, 1, 0, True, True, False, 2, 9, False, 2, 9, 81, False
